Timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw,motor.m1,motor.m3,pm.vbat
7574179,4336,-4638,-23299,42000,42000,3.9378299713134766
7574189,1714,-4990,-23309,42000,42000,3.943108558654785
7574199,211,-5057,-23308,42000,42000,3.943108558654785
7574209,-726,-4919,-23357,42000,42000,3.9378299713134766
7574219,-1617,-4765,-23421,42000,42000,3.9378299713134766
7574229,-2865,-4391,-23385,42000,42000,3.9378299713134766
7574239,-4394,-3877,-23341,42000,42000,3.9378299713134766
7574249,-6120,-3173,-23249,42000,42000,3.9378299713134766
7574259,-7387,-2302,-23260,42000,42000,3.9378299713134766
7574269,-8046,-1384,-23349,42000,42000,3.9378299713134766
7574279,-8307,-435,-23423,42000,42000,3.9378299713134766
7574289,-8390,526,-23533,42000,42000,3.9378299713134766
7574299,-8463,1460,-23655,42000,42000,3.9378299713134766
7574309,-8538,2475,-23665,42000,42000,3.9378299713134766
7574319,-8521,3410,-23769,42000,42000,3.9378299713134766
7574329,-7814,4248,-23886,42000,42000,3.9378299713134766
7574339,-6112,4768,-23958,42000,42000,3.9378299713134766
7574349,-4021,5211,-24021,42000,42000,3.9378299713134766
7574359,-2504,5416,-23955,0,0,3.9378299713134766
7574369,-1519,5622,-23795,0,0,4.027565956115723
7574379,-696,5674,-23602,0,0,4.027565956115723
7574389,112,5644,-23431,0,0,4.064516067504883
7574399,999,5489,-23334,0,0,4.0750732421875
7574409,1727,5145,-23161,0,0,4.0750732421875
7574419,1546,4624,-23030,0,0,4.0750732421875
7574429,426,4147,-22933,0,0,4.0750732421875
7574439,-42,3912,-22807,0,0,4.0750732421875
7574449,109,3802,-22712,0,0,4.0750732421875
7574459,453,3671,-22592,0,0,4.0750732421875
7574469,769,3434,-22523,0,0,4.0750732421875
7574479,1083,2912,-22447,0,0,4.0750732421875
7574489,1649,2323,-22376,0,0,4.0750732421875
7574499,2200,1703,-22286,0,0,4.0750732421875
7574509,2451,1237,-22214,0,0,4.0750732421875
7574519,2411,800,-22171,0,0,4.0750732421875
7574529,1718,463,-22036,0,0,4.0750732421875
7574539,-56,380,-21799,0,0,4.0750732421875
7574549,-2042,713,-21553,0,0,4.0750732421875
7574559,-3270,1317,-21335,0,0,4.0750732421875
7574569,-4018,2042,-21159,0,0,4.0750732421875
7574579,-4742,2978,-20927,0,0,4.0750732421875
7574589,-5617,4160,-20595,0,0,4.0750732421875
7574599,-6397,5469,-20330,0,0,4.0750732421875
7574609,-6684,6815,-20049,0,0,4.080351829528809
7574619,-6583,8028,-19797,0,0,4.080351829528809
7574629,-6383,9114,-19581,0,0,4.080351829528809
7574639,-6239,9924,-19440,0,0,4.080351829528809
7574649,-5642,10663,-19319,0,0,4.0750732421875
7574659,-4276,11100,-19251,0,0,4.080351829528809
7574669,-2174,11163,-19200,0,0,4.080351829528809
7574679,320,10828,-19131,0,0,4.080351829528809
7574689,2707,10054,-19003,0,0,4.080351829528809
7574699,4847,8878,-18913,0,0,4.080351829528809
7574709,6671,7279,-18792,0,0,4.080351829528809
7574719,8337,5352,-18676,0,0,4.080351829528809
7574729,9705,3179,-18535,0,0,4.080351829528809
7574739,10663,882,-18396,0,0,4.080351829528809
7574749,11262,-1321,-18308,0,0,4.080351829528809
7574759,11255,-3639,-18248,0,0,4.080351829528809
7574769,10744,-5828,-18196,0,0,4.080351829528809
7574779,9380,-7850,-18210,0,0,4.080351829528809
7574789,7127,-9377,-18284,0,0,4.080351829528809
7574799,4425,-10399,-18343,0,0,4.080351829528809
7574809,1449,-10778,-18263,0,0,4.080351829528809
7574819,-1663,-10641,-18129,0,0,4.080351829528809
7574829,-4441,-9961,-17972,0,0,4.080351829528809
7574839,-6370,-8824,-17900,0,0,4.080351829528809
7574849,-7559,-7170,-17902,0,0,4.080351829528809
7574859,-8148,-5109,-17962,0,0,4.080351829528809
7574869,-8280,-2900,-18073,0,0,4.0750732421875
7574879,-8407,-958,-18145,0,0,4.080351829528809
7574889,-8436,852,-18157,0,0,4.080351829528809
7574899,-8212,2616,-18056,0,0,4.080351829528809
7574909,-7734,4378,-18002,0,0,4.080351829528809
7574919,-6993,6152,-17994,0,0,4.080351829528809
7574929,-5874,7587,-17981,0,0,4.080351829528809
7574939,-4163,8573,-17999,0,0,4.080351829528809
7574949,-2050,9009,-17965,0,0,4.080351829528809
7574959,319,8933,-17909,0,0,4.080351829528809
7574969,2863,8318,-17792,0,0,4.080351829528809
7574979,5403,7127,-17624,0,0,4.080351829528809
7574989,7447,5463,-17394,0,0,4.080351829528809
7574999,8697,3609,-17290,0,0,4.080351829528809
7575009,9054,1628,-17218,0,0,4.080351829528809
7575019,8660,-463,-17249,0,0,4.080351829528809
7575029,7715,-2428,-17321,0,0,4.080351829528809
7575039,6313,-4161,-17428,0,0,4.080351829528809
7575049,4566,-5574,-17535,0,0,4.080351829528809
7575059,2676,-6532,-17641,0,0,4.080351829528809
7575069,757,-7146,-17676,0,0,4.080351829528809
7575079,-980,-7385,-17701,0,0,4.080351829528809
7575089,-2300,-7261,-17698,0,0,4.080351829528809
7575099,-3247,-6866,-17674,0,0,4.080351829528809
7575109,-3877,-6179,-17662,0,0,4.080351829528809
7575119,-4411,-5401,-17684,0,0,4.080351829528809
7575129,-4946,-4348,-17695,0,0,4.080351829528809
7575139,-5535,-3163,-17658,0,0,4.080351829528809
7575149,-6108,-1854,-17643,0,0,4.080351829528809
7575159,-6340,-717,-17622,0,0,4.080351829528809
7575169,-6161,473,-17636,0,0,4.080351829528809
7575179,-5235,1593,-17686,0,0,4.080351829528809
7575189,-3864,2320,-17711,0,0,4.080351829528809
7575199,-1963,2697,-17680,0,0,4.080351829528809
7575209,144,2615,-17661,0,0,4.085630416870117
7575219,2073,2072,-17587,0,0,4.085630416870117
7575229,3703,1293,-17450,0,0,4.080351829528809
7575239,4972,200,-17373,0,0,4.080351829528809
7575249,5778,-1169,-17248,0,0,4.080351829528809
7575259,6049,-2645,-17167,0,0,4.085630416870117
7575269,5500,-3972,-17142,0,0,4.080351829528809
7575279,4318,-5026,-17145,0,0,4.080351829528809
7575289,2778,-5765,-17159,0,0,4.080351829528809
7575299,1167,-6199,-17149,0,0,4.085630416870117
7575309,-308,-6308,-17139,0,0,4.080351829528809
7575319,-1433,-6072,-17112,0,0,4.080351829528809
7575329,-2285,-5572,-17087,0,0,4.080351829528809
7575339,-2991,-4889,-17096,0,0,4.080351829528809
7575349,-3594,-4040,-17078,0,0,4.080351829528809
7575359,-4198,-2972,-17093,0,0,4.080351829528809
7575369,-4819,-1722,-17022,0,0,4.080351829528809
7575379,-5419,-405,-16972,0,0,4.080351829528809
7575389,-5856,865,-16887,0,0,4.085630416870117
7575399,-6099,2099,-16778,0,0,4.085630416870117
7575409,-6075,3345,-16723,0,0,4.080351829528809
7575419,-5730,4464,-16662,0,0,4.085630416870117
7575429,-5029,5405,-16623,0,0,4.085630416870117
7575439,-3830,6089,-16609,0,0,4.085630416870117
7575449,-2199,6413,-16598,0,0,4.080351829528809
7575459,-305,6371,-16571,0,0,4.080351829528809
7575469,1560,5950,-16456,0,0,4.080351829528809
7575479,3432,5142,-16378,0,0,4.080351829528809
7575489,4887,3999,-16313,0,0,4.080351829528809
7575499,5652,2704,-16262,0,0,4.080351829528809
7575509,5739,1341,-16260,0,0,4.085630416870117
7575519,5219,-14,-16321,0,0,4.085630416870117
7575529,4250,-1221,-16415,0,0,4.080351829528809
7575539,3085,-2232,-16495,0,0,4.085630416870117
7575549,2013,-2989,-16552,0,0,4.080351829528809
7575559,1094,-3538,-16593,0,0,4.085630416870117
7575569,348,-3886,-16583,0,0,4.080351829528809
7575579,-254,-4082,-16564,0,0,4.080351829528809
7575589,-872,-4068,-16552,0,0,4.080351829528809
7575599,-1618,-3867,-16543,0,0,4.085630416870117
7575609,-2544,-3456,-16506,0,0,4.085630416870117
7575619,-3592,-2842,-16451,0,0,4.080351829528809
7575629,-4667,-2057,-16385,0,0,4.085630416870117
7575639,-5457,-1182,-16304,0,0,4.085630416870117
7575649,-5990,-112,-16234,0,0,4.085630416870117
7575659,-5925,1007,-16227,0,0,4.080351829528809
